Question,Option_1,Option_2,Option_3,Option_4,Correct_Option,Topic,Subtopic,Difficulty_Level
Identify the compound that shows hydrogen bonding among the following:,Water,Methane,Ethane,Propane,Option_1,Bonding,Intermolecular Forces,Easy
What is the oxidation number of oxygen in HO?,-1,-2,0,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the pH of a 0.01 M HCl solution.,2,1,3,5,Option_1,Acids and Bases,pH Calculation,Easy
Which element has the electronic configuration 1s 2s 2p 3s 3p?,Chlorine,Argon,Fluorine,Neon,Option_1,Electronic Configuration,Electronic Structure,Medium
Identify the type of reaction: 2Fe + 3Cl  2FeCl.,Combination,Decomposition,Single displacement,Double displacement,Option_1,Reaction Types,Combination Reaction,Easy
What is the molecular geometry of methane (CH)?,Tetrahedral,Square planar,Linear,Trigonal planar,Option_1,Molecular Geometry,Bond Angles,Medium
What is the bond angle in water (HO)?,104.5,109.5,90,180,Option_1,Bonding,Bond Angles,Medium
Calculate the enthalpy change for a reaction where 2 moles of a substance release 100 kJ of energy.,-50 kJ,-200 kJ,100 kJ,-100 kJ,Option_1,Thermodynamics,Enthalpy,Easy
What is the major product when benzene reacts with bromine in the presence of FeBr?,Bromobenzene,Toluene,Chlorobenzene,Ethylbenzene,Option_1,Organic Chemistry,Electrophilic Substitution,Medium
Which element has the highest first ionization energy?,Helium,Neon,Fluorine,Hydrogen,Option_3,Periodic Trends,Ionization Energy,Medium
Identify the gas that is commonly used in light bulbs to prevent the filament from burning.,Argon,Oxygen,Nitrogen,Krypton,Option_1,Inorganic Chemistry,Noble Gases,Easy
What is the oxidation number of nitrogen in NH?,-3,3,-4,4,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change when 2 moles of a gas expand isothermally from 1 L to 2 L.,5.76 J/K,10 J/K,3.76 J/K,6.76 J/K,Option_1,Thermodynamics,Entropy,Medium
What is the product of the reaction between benzene and chlorine in the presence of anhydrous AlCl?,Chlorobenzene,Bromobenzene,Ethylbenzene,Methylbenzene,Option_1,Organic Chemistry,Electrophilic Substitution,Easy
Which compound has the highest lattice energy among the following?,NaCl,KCl,LiF,RbBr,Option_3,Inorganic Chemistry,Lattice Energy,Medium
Identify the main constituent of biogas.,Methane,Ethane,Propane,Butane,Option_1,Applied Chemistry,Environmental Chemistry,Easy
What is the molecular formula of ethane?,CH,CH,CH,CH,Option_1,Organic Chemistry,Hydrocarbons,Easy
Calculate the number of moles in 58.5 g of NaCl (Molar mass of NaCl = 58.5 g/mol).,1 mole,2 moles,0.5 moles,1.5 moles,Option_1,Mole Concept,Molar Mass Calculations,Medium
Which of the following compounds is used as an anesthetic?,Nitrous oxide,Carbon dioxide,Oxygen,Methane,Option_1,Applied Chemistry,Chemistry in Everyday Life,Easy
Identify the metal ion in the complex [Fe(CN)].,Fe,Fe,Fe,Fe,Option_1,Inorganic Chemistry,Coordination Compounds,Medium
What is the hybridization of carbon in ethene (CH)?,sp,sp,sp,spd,Option_1,Bonding,Hybridization,Medium
What is the hybridization of the central atom in NH?,sp,sp,sp,spd,Option_1,Bonding,Hybridization,Medium
Calculate the pH of a 0.001 M solution of HCl.,3,2,4,5,Option_1,Acids and Bases,pH Calculation,Easy
Identify the main product when ethene reacts with bromine.,"1,2-Dibromoethane",Bromoethane,"1,1-Dibromoethane",Dibromopropane,Option_1,Organic Chemistry,Addition Reactions,Easy
Which element has the highest electronegativity?,Fluorine,Chlorine,Bromine,Iodine,Option_1,Periodic Trends,Electronegativity,Medium
What is the molar mass of KCO?,138 g/mol,99 g/mol,78 g/mol,194 g/mol,Option_1,Inorganic Chemistry,Molar Mass Calculations,Easy
What is the bond angle in ammonia (NH)?,107,109.5,90,120,Option_1,Bonding,Bond Angles,Medium
Calculate the enthalpy change for a reaction where 3 moles of a substance release 150 kJ of energy.,-50 kJ,-150 kJ,-100 kJ,-200 kJ,Option_1,Thermodynamics,Enthalpy,Easy
What is the major product when methane reacts with chlorine under UV light?,Chloromethane,Ethyl chloride,Methyl chloride,Dichloromethane,Option_3,Organic Chemistry,Free Radical Substitution,Medium
Which alkali metal has the highest atomic radius?,Lithium,Sodium,Potassium,Rubidium,Option_4,Periodic Trends,Atomic Radius,Easy
What is the molar mass of Al(SO)?,342 g/mol,384 g/mol,278 g/mol,234 g/mol,Option_1,Mole Concept,Molar Mass Calculations,Medium
What is the oxidation state of chlorine in HClO?,7,5,3,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change when 2 moles of a substance undergo a phase transition at 100C with H = 40.79 kJ/mol.,81.58 J/K,60.59 J/K,20.59 J/K,90.79 J/K,Option_1,Thermodynamics,Entropy,Medium
Which product is formed when propane reacts with chlorine in the presence of light?,Chloropropane,Propyl chloride,Dichloropropane,Methyl chloride,Option_1,Organic Chemistry,Free Radical Substitution,Medium
Which element has the lowest first ionization energy?,Cesium,Rubidium,Francium,Potassium,Option_3,Periodic Trends,Ionization Energy,Easy
What is the molar mass of (NH)SO?,132 g/mol,114 g/mol,122 g/mol,124 g/mol,Option_1,Mole Concept,Molar Mass Calculations,Medium
What is the oxidation number of sulfur in SO?,6,4,2,8,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the enthalpy change when 2 moles of a substance releases 80 kJ of energy.,-40 kJ,-80 kJ,-60 kJ,-30 kJ,Option_1,Thermodynamics,Enthalpy,Easy
Identify the major product of the reaction between ethene and HBr.,Bromoethane,Ethyl bromide,Methylethane,Dibromoethane,Option_1,Organic Chemistry,Addition Reactions,Medium
Which noble gas has the highest atomic radius?,Helium,Neon,Argon,Krypton,Option_3,Periodic Trends,Atomic Radius,Medium
What is the formula of ammonium sulfate?,(NH)SO,NHSO,(NH)SO,NHSO,Option_1,Inorganic Chemistry,Molecular Formulas,Easy
What is the hybridization of carbon in methane (CH)?,sp,sp,sp,spd,Option_1,Bonding,Hybridization,Medium
Calculate the pH of a 0.01 M HCl solution.,2,1,4,3,Option_2,Acids and Bases,pH Calculation,Easy
Which compound is formed when ethene is hydrated under acidic conditions?,Ethanol,Methanol,Propane,Butanol,Option_1,Organic Chemistry,Addition Reactions,Easy
Identify the element with the smallest atomic radius among these.,Helium,Neon,Argon,Krypton,Option_1,Periodic Trends,Atomic Radius,Easy
What is the empirical formula of glucose (CHO)?,CHO,CHO,CHO,CHO,Option_1,Basic Concepts,Empirical Formulas,Medium
What is the oxidation number of chromium in CrO?,6,4,3,5,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change for a process that absorbs 100 J of heat at 300 K.,0.33 J/K,0.1 J/K,0.5 J/K,0.25 J/K,Option_1,Thermodynamics,Entropy,Easy
What is the main product when benzene reacts with nitric acid in the presence of sulfuric acid?,Nitrobenzene,Methylbenzene,Ethylbenzene,Phenol,Option_1,Organic Chemistry,Nitration,Medium
Which metal has the highest melting point?,Tungsten,Iron,Copper,Lead,Option_1,Inorganic Chemistry,Melting Points,Medium
What is the molecular formula of glucose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
What is the oxidation state of manganese in KMnO?,7,5,3,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the enthalpy change for a reaction where 1 mole of substance absorbs 75 kJ of energy.,+75 kJ,-75 kJ,+150 kJ,-50 kJ,Option_1,Thermodynamics,Enthalpy,Medium
Which product is formed when propene reacts with HBr?,2-Bromopropane,1-Bromopropane,Propyl bromide,Methyl bromide,Option_1,Organic Chemistry,Addition Reactions,Easy
Identify the noble gas with the highest boiling point.,Radon,Xenon,Krypton,Argon,Option_1,Periodic Trends,Boiling Points,Medium
What is the structural formula of ethanol?,CHCHOH,CHOH,CHOH,CHO,Option_1,Organic Chemistry,Structural Formulas,Easy
Calculate the oxidation number of sulfur in HSO.,6,4,2,8,Option_1,Redox Reactions,Oxidation States,Medium
What is the entropy change when 2 moles of a gas are expanded isothermally from 1 L to 2 L? (R = 8.314 J/molK),11.53 J/K,5.77 J/K,2.88 J/K,8.31 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the product formed when benzene reacts with chlorine in the presence of FeCl.,Chlorobenzene,Bromobenzene,Benzene chloride,Phenol,Option_1,Organic Chemistry,Electrophilic Substitution,Medium
Which element has the highest electronegativity?,Fluorine,Oxygen,Nitrogen,Chlorine,Option_1,Periodic Trends,Electronegativity,Easy
What is the molar mass of CaCO?,100 g/mol,150 g/mol,164 g/mol,44 g/mol,Option_1,Molecular Mass Calculations,Molecular Formulas,Easy
Calculate the oxidation state of carbon in CH.,-4,4,0,2,Option_1,Redox Reactions,Oxidation States,Easy
What is the entropy change when 1 mole of a substance absorbs 50 J of heat at 298 K?,0.168 J/K,0.336 J/K,0.672 J/K,0.134 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the product formed when ethene reacts with bromine.,"1,2-Dibromoethane",Ethane,Bromoethane,Ethylene bromide,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element has the smallest atomic radius in period 3?,Chlorine,Aluminum,Sodium,Silicon,Option_1,Periodic Trends,Atomic Radius,Easy
What is the molecular formula of acetic acid?,CHO,CHO,CHO,CHOH,Option_1,Molecular Formulas,Molecular Formulas,Medium
What is the oxidation number of phosphorus in HPO?,5,3,2,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the change in entropy when 1 mole of an ideal gas expands isothermally from 2 L to 4 L.,5.76 J/K,8.31 J/K,2.88 J/K,10.0 J/K,Option_1,Thermodynamics,Entropy,Medium
Which product is formed when ethanol is oxidized using an oxidizing agent?,Acetaldehyde,Acetone,Methanol,Benzene,Option_1,Organic Chemistry,Oxidation Reactions,Medium
What element has the highest ionization energy in period 2?,Neon,Fluorine,Helium,Oxygen,Option_2,Periodic Trends,Ionization Energy,Easy
What is the molecular formula of butane?,CH,CH,CH,CH,Option_1,Molecular Formulas,Alkanes,Easy
Determine the oxidation state of sulfur in SO.,4,6,2,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change for a reversible process where 1 mole of gas absorbs 100 J at 300 K.,0.33 J/K,0.5 J/K,0.67 J/K,0.25 J/K,Option_1,Thermodynamics,Entropy,Medium
What product is formed when ethyl alcohol is oxidized with KMnO?,Acetic acid,Acetone,Acetaldehyde,Methane,Option_1,Organic Chemistry,Oxidation Reactions,Medium
Which alkali metal has the lowest melting point?,Cesium,Rubidium,Sodium,Potassium,Option_1,Periodic Trends,Melting Points,Easy
What is the empirical formula of benzene?,CH,CH,CH,CH,Option_1,Basic Concepts,Empirical Formulas,Medium
What is the oxidation number of nitrogen in NHNO?,-3 and +5,+3 and -3,-5 and +3,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the enthalpy change when 3 moles of a substance absorbs 120 kJ of energy.,+40 kJ,+30 kJ,+60 kJ,+20 kJ,Option_1,Thermodynamics,Enthalpy,Easy
Identify the major product when butene reacts with HCl.,2-Chlorobutane,Butanol,Propane,Butyne,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element in period 4 has the highest electronegativity?,Bromine,Chlorine,Calcium,Iron,Option_1,Periodic Trends,Electronegativity,Easy
What is the structural formula of propene?,CH-CH=CH,CH-CH-CH,CHCHCH,CH,Option_1,Basic Concepts,Structural Formulas,Medium
Determine the oxidation number of chlorine in ClO.,7,5,3,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change when 2 moles of an ideal gas expands from 1 L to 4 L isothermally.,22.18 J/K,11.09 J/K,5.55 J/K,3.32 J/K,Option_1,Thermodynamics,Entropy,Medium
What is the product of hydrogenation of ethene?,Ethane,Ethanol,Methane,Acetylene,Option_1,Organic Chemistry,Addition Reactions,Easy
Which of the following elements has the highest atomic radius?,Cesium,Potassium,Bromine,Chlorine,Option_1,Periodic Trends,Atomic Radius,Medium
What is the empirical formula of glucose?,CHO,CH,CH,CHO,Option_1,Basic Concepts,Empirical Formulas,Easy
Determine the oxidation state of chromium in CrO.,6,4,3,2,Option_1,Redox Reactions,Oxidation States,Medium
What is the entropy change when 1 mole of gas expands isothermally from 1 L to 2 L at 300 K?,5.76 J/K,8.31 J/K,3.44 J/K,4.5 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the major product formed when benzene reacts with chlorine in the presence of FeCl.,Chlorobenzene,Bromobenzene,Methylbenzene,Dichlorobenzene,Option_1,Organic Chemistry,Electrophilic Substitution,Medium
Which alkali metal is the most reactive?,Cesium,Potassium,Sodium,Lithium,Option_1,Periodic Trends,Reactivity,Easy
What is the molecular formula of glucose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
What is the oxidation state of chromium in CrO?,6,3,2,5,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the change in enthalpy when 2 moles of a substance absorb 80 kJ of heat.,+40 kJ,+20 kJ,+10 kJ,+15 kJ,Option_1,Thermodynamics,Enthalpy,Easy
Identify the product when propene reacts with bromine in CCl.,"1,2-Dibromopropane",Bromopropane,Methanol,Ethanol,Option_1,Organic Chemistry,Halogenation,Medium
Which element in the third period has the highest ionization energy?,Chlorine,Aluminum,Silicon,Phosphorus,Option_1,Periodic Trends,Ionization Energy,Easy
What is the molecular formula of benzene?,CH,CH,CH,CH,Option_1,Basic Concepts,Molecular Formulas,Medium
Calculate the oxidation state of sulfur in HSO.,6,4,2,1,Option_1,Redox Reactions,Oxidation States,Medium
What is the entropy change when 1 mole of gas expands isothermally from 1 L to 3 L? (R = 8.314 J/molK),9.13 J/K,4.57 J/K,2.5 J/K,7.2 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the product formed when ethene reacts with water in the presence of HSO.,Ethanol,Methanol,Butanol,Propanol,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element has the highest electronegativity in the halogen group?,Fluorine,Chlorine,Iodine,Bromine,Option_1,Periodic Trends,Electronegativity,Easy
What is the molecular formula of acetic acid?,CHO,CHO,CHO,CH,Option_1,Basic Concepts,Molecular Formulas,Easy
What is the oxidation state of oxygen in HO?,-1,-2,0,1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change for a reversible process where 1 mole of gas absorbs 50 J at 298 K.,0.168 J/K,0.136 J/K,0.100 J/K,0.254 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the main product when ethyne reacts with hydrogen in the presence of a nickel catalyst.,Ethane,Ethyne,Methane,Propane,Option_1,Organic Chemistry,Hydrogenation,Medium
Which element has the smallest atomic radius in the second period?,Fluorine,Nitrogen,Carbon,Boron,Option_1,Periodic Trends,Atomic Radius,Easy
What is the molecular formula of lactic acid?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
Determine the oxidation state of nitrogen in NO.,5,3,1,-1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the change in enthalpy when 1 mole of gas absorbs 75 kJ of energy.,+75 kJ,+50 kJ,+100 kJ,+25 kJ,Option_1,Thermodynamics,Enthalpy,Medium
What product is formed when propene undergoes hydrogenation in the presence of a nickel catalyst?,Propane,Ethanol,Methanol,Butane,Option_1,Organic Chemistry,Hydrogenation,Medium
Which period 3 element has the highest atomic radius?,Sodium,Magnesium,Phosphorus,Chlorine,Option_1,Periodic Trends,Atomic Radius,Easy
What is the molecular formula of fructose?,CHO,CHO,CHO,CH,Option_1,Biomolecules,Molecular Formulas,Easy
Determine the oxidation state of chlorine in NaClO.,5,3,1,-1,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change when 2 moles of gas expand isothermally from 2 L to 6 L. (R = 8.314 J/molK),16.61 J/K,8.31 J/K,4.15 J/K,2.07 J/K,Option_1,Thermodynamics,Entropy,Medium
What is the product formed when ethene reacts with HCl?,Chloroethane,Ethanol,Ethane,Methane,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element in period 3 has the highest ionization energy?,Chlorine,Sodium,Magnesium,Aluminum,Option_1,Periodic Trends,Ionization Energy,Easy
What is the structural formula of glucose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Structural Formulas,Easy
Determine the oxidation state of sulfur in HSO.,4,6,2,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the enthalpy change when 1 mole of gas absorbs 60 kJ of energy.,+60 kJ,+30 kJ,+45 kJ,+15 kJ,Option_1,Thermodynamics,Enthalpy,Medium
What is the major product when ethene is reacted with bromine?,"1,2-Dibromoethane",Ethyne,Ethane,Methane,Option_1,Organic Chemistry,Addition Reactions,Medium
Which period 2 element has the highest electronegativity?,Fluorine,Oxygen,Nitrogen,Carbon,Option_1,Periodic Trends,Electronegativity,Easy
What is the structural formula of sucrose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Structural Formulas,Easy
What is the oxidation state of iron in FeO?,3,2,1,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change when 1 mole of gas expands isothermally from 5 L to 10 L. (R = 8.314 J/molK),5.76 J/K,4.57 J/K,8.31 J/K,10 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the product when propene reacts with H in the presence of Pt catalyst.,Propane,Methanol,Ethane,Butane,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element in the first period has the highest atomic radius?,Hydrogen,Helium,Nitrogen,Oxygen,Option_1,Periodic Trends,Atomic Radius,Easy
What is the molecular formula of cellulose?,(CHO)n,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
Determine the oxidation state of chromium in KCrO.,6,3,2,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change for a process where 2 moles of gas expands from 1 L to 3 L at 298 K. (R = 8.314 J/molK),9.13 J/K,10.25 J/K,8.0 J/K,6.5 J/K,Option_1,Thermodynamics,Entropy,Medium
What is the main product when ethene reacts with water in the presence of HSO?,Ethanol,Methanol,Propane,Ethyne,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element has the highest electronegativity in period 3?,Chlorine,Phosphorus,Sodium,Sulfur,Option_1,Periodic Trends,Electronegativity,Easy
What is the molecular formula of ribose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
Calculate the oxidation state of nitrogen in NHCl.,-3,3,1,0,Option_1,Redox Reactions,Oxidation States,Medium
Calculate the entropy change for a process in which 1 mole of gas expands isothermally from 1 L to 5 L. (R = 8.314 J/molK),13.38 J/K,16.12 J/K,8.31 J/K,5.78 J/K,Option_1,Thermodynamics,Entropy,Medium
Identify the major product when propene is reacted with HBr in the presence of peroxides.,1-Bromopropane,2-Bromopropane,Ethanol,Ethane,Option_1,Organic Chemistry,Addition Reactions,Medium
Which element in the second period has the smallest atomic radius?,Fluorine,Oxygen,Nitrogen,Carbon,Option_1,Periodic Trends,Atomic Radius,Easy
What is the molecular formula of galactose?,CHO,CHO,CHO,CHO,Option_1,Biomolecules,Molecular Formulas,Easy
